Species,n,PPT_optimum_tc,PPT_optimum_ch,MAT_optimum_tc,MAT_optimum_ch
Sarcaulus oblatus,12,1803.133333,2049.5,20.91631944,203.0833333
Satyria leucostoma,43,2360.174419,2394.55814,20.42926357,199.1395349
Saurauia biserrata,25,1110.944,1579.28,18.0835,167.88
Saurauia herthae,56,2069.180357,2095.553571,18.68556548,182.6607143
Saurauia laevigata,23,3393.504348,3436.913043,23.89293478,229.9130435
Saurauia peruviana,45,1214.484444,1335.377778,17.015,159.5555556
Saurauia prainiana,112,2529.526786,2636.910714,19.41439732,191.4196429
Saurauia spectabilis,41,1360.626829,1276.707317,17.80111789,176.195122
Saurauia tomentosa,121,1436.771901,1695.280992,15.01790634,144.9752066
Saurauia ursina,178,2248.77809,2172.168539,15.44763577,149.1292135
Schaefferia argentinensis,65,1094.017188,1042.359375,20.02897135,192.84375
Schefflera acuminata,41,1228.573171,1855.853659,17.9879065,164.1707317
Schefflera allocotantha,14,1144.964286,1503.642857,15.69970238,145.7857143
Schefflera bejucosa,16,1578.58125,1900.75,13.009375,124.1875
Schefflera bogotensis,75,1750.125333,1991.373333,12.75377778,119.12
Schefflera confusa,15,2674.726667,2735.066667,25.78888889,241
Schefflera inambarica,12,1339.608333,1460.833333,17.421875,152.4166667
Schefflera morototoni,373,2465.197587,2349.187668,24.6525916,238.308311
Schefflera patula,55,1630.070909,1857.527273,20.2655303,185.4909091
Schefflera pentandra,49,1770.793878,2051.591837,19.71505102,187.2653061
Schefflera sodiroi,14,1500.407143,1837.714286,12.56547619,124.5714286
Schefflera sprucei,100,2544.409,2519.77,23.029875,224.24
Schefflera trianae,73,1929.29589,2145.794521,13.77819635,129.5479452
Schinopsis brasiliensis,48,1389.354167,1113.395833,22.35711806,217.4375
Schizocalyx obovatus,68,1832.545588,1694.132353,22.09938725,217.4411765
Schizocalyx peruvianus,79,2291.927848,2363.050633,23.68132911,230.9113924
Schizocalyx sterculioides,18,1634.005556,2579.777778,21.6462963,194.2777778
Schizocalyx truncatus,28,1979.217857,2029.464286,24.02232143,233.7857143
Sebastiania brasiliensis,213,1264.421327,1251.480952,20.97758689,204.9
Seguieria aculeata,82,1547.023171,1410.353659,22.91244919,225.3902439
Senegalia loretensis,152,1876.525658,1833.322368,24.11485746,235.4671053
Senegalia martiusiana,50,1429.382,1421.72,21.30183333,219.76
Senegalia parviceps,20,1327.665,1148.65,20.93354167,201.65
Senegalia polyphylla,134,1779.223881,1602.216418,24.5534204,239.9179104
Senegalia rhytidocarpa,36,1735.580556,1591.457143,24.40185185,239.9428571
Senegalia tenuifolia,63,1783.898413,1655.063492,24.23948413,236.6507937
Sessea dependens,26,1161.4,1297.346154,15.85961538,145
Sideroxylon obtusifolium,136,1104.617037,1071.036765,23.08419753,227.8014706
Simaba guianensis,75,2765.277333,3028.093333,25.93783333,244.96
Simaba polyphylla,66,2815.393939,3027.469697,25.16477273,242.1969697
Simarouba amara,510,2582.622157,2657.586614,24.51601307,235.0688976
Simira macrocrater,20,1505.77,1296.4,23.689375,234.15
Simira rubescens,149,2421.691275,2479.04698,25.36764541,244.0604027
